OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
67;"Tram";"12";"12";3;"POINT(4.891548,52.35019)";"POINT(52.35019,4.891548)";"4,891548";"52,35019";
68;"Tram";"2 | 11 | 12 | 13 | 17";"02|11|12|13|17";3;"POINT(4.890517,52.373154)";"POINT(52.373154,4.890517)";"4,890517";"52,373154";
69;"Tram";"13";"13";3;"POINT(4.812453,52.376422)";"POINT(52.376422,4.812453)";"4,812453";"52,376422";
70;"Tram";"7";"07";3;"POINT(4.832248,52.379714)";"POINT(52.379714,4.832248)";"4,832248";"52,379714";
71;"Tram";"7";"07";3;"POINT(4.826829,52.380564)";"POINT(52.380564,4.826829)";"4,826829";"52,380564";
72;"Tram";"13";"13";3;"POINT(4.827318,52.374404)";"POINT(52.374404,4.827318)";"4,827318";"52,374404";
73;"Tram";"13";"13";3;"POINT(4.844122,52.369427)";"POINT(52.369427,4.844122)";"4,844122";"52,369427";
74;"Tram";"7";"07";3;"POINT(4.848647,52.373174)";"POINT(52.373174,4.848647)";"4,848647";"52,373174";
75;"Tram";"13";"13";3;"POINT(4.806468,52.376938)";"POINT(52.376938,4.806468)";"4,806468";"52,376938";
76;"Tram";"13";"13";3;"POINT(4.803274,52.377254)";"POINT(52.377254,4.803274)";"4,803274";"52,377254";
77;"Tram";"7 | 13";"07|13";3;"POINT(4.850266,52.370032)";"POINT(52.370032,4.850266)";"4,850266";"52,370032";
78;"Tram";"13";"13";3;"POINT(4.838209,52.369641)";"POINT(52.369641,4.838209)";"4,838209";"52,369641";
79;"Tram";"7";"07";3;"POINT(4.818878,52.372842)";"POINT(52.372842,4.818878)";"4,818878";"52,372842";
80;"Tram";"4 | 14";"04|14";3;"POINT(4.896578,52.366237)";"POINT(52.366237,4.896578)";"4,896578";"52,366237";
81;"Tram";"14";"14";3;"POINT(4.911175,52.366621)";"POINT(52.366621,4.911175)";"4,911175";"52,366621";
82;"Tram";"14";"14";3;"POINT(4.915418,52.365155)";"POINT(52.365155,4.915418)";"4,915418";"52,365155";
83;"Tram";"7 | 13";"07|13";3;"POINT(4.819025,52.375688)";"POINT(52.375688,4.819025)";"4,819025";"52,375688";
84;"Tram";"3 | 14";"03|14";3;"POINT(4.951403,52.365165)";"POINT(52.365165,4.951403)";"4,951403";"52,365165";
